Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0449,-35775.3390,-18342.4051,-14473.7581,-9898.2988,1136263.5152,908918.0599,1365142.2107,515053.1111,1666592.5928,762811.8641,669691.6118,865813.2567,2592220.6498,1197923.8876,709130.2997,467495.3102,794483.1610,383847.1341,130401.9747,287525.7563,-48002.4524,576.7503,-60542.8418,905.8883,-68798.4669,-82391.9117,149342.9129,40614.4175
0.0469,-38532.9807,-20448.9379,-15808.8291,-10715.5928,1223753.5176,973286.5676,1482768.0836,571568.9293,1782160.2566,836758.0608,738996.9705,937370.9318,2769121.5124,1302406.4751,760276.0667,496084.7179,847289.9144,417264.7225,144147.8018,309540.5146,-54765.2530,476.6791,-67275.5524,935.7320,-72330.5837,-86298.1794,163857.3380,47542.6349
0.0488,-41290.6225,-22555.4707,-17143.9001,-11532.8867,1311243.5200,1037655.0754,1600393.9565,628084.7476,1897727.9205,910704.2576,808302.3291,1008928.6068,2946022.3751,1406889.0626,811421.8336,524674.1256,900096.6678,450682.3108,157893.6288,331555.2729,-61528.0535,376.6079,-74008.2630,965.5757,-75862.7005,-90204.4472,178371.7631,54470.8522
0.0508,-44048.2642,-24662.0036,-18478.9711,-12350.1807,1398733.5223,1102023.5831,1718019.8294,684600.5658,2013295.5843,984650.4543,877607.6878,1080486.2819,3122923.2378,1511371.6501,862567.6006,553263.5332,952903.4211,484099.8992,171639.4558,353570.0312,-68290.8540,276.5367,-80740.9736,995.4194,-79394.8172,-94110.7149,192886.1881,61399.0696
0.0527,-46805.9059,-26768.5364,-19814.0421,-13167.4746,1486223.5247,1166392.0908,1835645.7023,741116.3840,2128863.2481,1058596.6510,946913.0464,1152043.9570,3299824.1004,1615854.2376,913713.3675,581852.9409,1005710.1745,517517.4875,185385.2828,375584.7894,-75053.6545,176.4655,-87473.6842,1025.2631,-82926.9340,-98016.9827,207400.6132,68327.2869
0.0547,-49563.5477,-28875.0692,-21149.1131,-13984.7686,1573713.5270,1230760.5986,1953271.5753,797632.2023,2244430.9120,1132542.8478,1016218.4051,1223601.6320,3476724.9631,1720336.8251,964859.1344,610442.3486,1058516.9279,550935.0759,199131.1099,397599.5477,-81816.4550,76.3944,-94206.3948,1055.1068,-86459.0508,-101923.2505,221915.0383,75255.5042
0.0566,-52321.1894,-30981.6021,-22484.1841,-14802.0626,1661203.5294,1295129.1063,2070897.4482,854148.0205,2359998.5758,1206489.0445,1085523.7637,1295159.3071,3653625.8257,1824819.4126,1016004.9014,639031.7563,1111323.6812,584352.6642,212876.9369,419614.3060,-88579.2556,-23.6768,-100939.1054,1084.9505,-89991.1675,-105829.5182,236429.4634,82183.7216
0.0586,-55078.8311,-33088.1349,-23819.2551,-15619.3565,1748693.5318,1359497.6141,2188523.3211,910663.8388,2475566.2396,1280435.2413,1154829.1224,1366716.9822,3830526.6884,1929302.0001,1067150.6683,667621.1640,1164130.4346,617770.2525,226622.7639,441629.0643,-95342.0561,-123.7480,-107671.8160,1114.7942,-93523.2843,-109735.7860,250943.8884,89111.9389
0.0605,-57836.4728,-35194.6677,-25154.3261,-16436.6505,1836183.5341,1423866.1218,2306149.1940,967179.6570,2591133.9034,1354381.4380,1224134.4811,1438274.6572,4007427.5510,2033784.5876,1118296.4353,696210.5717,1216937.1880,651187.8409,240368.5910,463643.8225,-102104.8566,-223.8192,-114404.5266,1144.6379,-97055.4011,-113642.0537,265458.3135,96040.1562
0.0625,-60594.1146,-37301.2006,-26489.3972,-17253.9445,1923673.5365,1488234.6296,2423775.0669,1023695.4753,2706701.5673,1428327.6347,1293439.8397,1509832.3323,4184328.4137,2138267.1751,1169442.2022,724799.9794,1269743.9413,684605.4292,254114.4180,485658.5808,-108867.6571,-323.8904,-121137.2372,1174.4816,-100587.5178,-117548.3215,279972.7386,102968.3736
