Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0684,-0.7075,0.1035,-4.6193,-5.4829,-61.6176,75.1621,60.2062,99.2601,-253.3447,-66.2429,-251.5053,-349.3769,4278.1427,3681.1974,4577.0033,3693.0394,297.2601,311.0598,-485.0154,-430.7807,26.4615,-4.8587,28.1412,2.6693,-14.1841,-13.5086,26.4237,20.7377
0.0703,-0.7898,0.1186,-4.6229,-5.3466,-60.1565,75.6223,60.3137,99.3446,-254.0944,-61.7997,-254.5966,-347.9327,4285.2507,3682.4392,4574.5580,3687.2159,297.4991,312.5384,-486.0071,-429.6623,26.0495,-4.8961,27.7749,2.7512,-14.1538,-13.3220,26.3734,20.6262
0.0723,-0.8170,0.0429,-4.5798,-5.3163,-59.8553,76.1113,60.5886,99.0400,-254.0370,-62.0449,-250.3830,-345.3660,4288.6507,3686.2035,4569.2675,3685.1980,297.7193,312.7969,-484.3093,-428.7478,26.0057,-4.9494,27.7384,2.8233,-14.2092,-13.2934,26.8795,20.7016
0.0742,-0.8506,0.1248,-4.6256,-5.2556,-58.6200,75.8712,61.4678,99.4786,-255.0435,-59.4723,-255.5239,-346.7866,4290.2939,3683.3758,4572.7385,3683.4392,297.5001,313.2832,-486.3435,-428.9659,25.5868,-4.9372,27.3193,2.8128,-14.2365,-13.2284,26.7037,20.5918
0.0762,-0.8061,0.1205,-4.6356,-5.3398,-58.4509,75.6874,61.7276,99.5427,-257.6369,-61.5541,-255.4141,-346.7355,4285.9612,3682.6001,4574.7789,3686.8108,296.3754,312.5691,-486.4017,-429.3390,25.6251,-4.9353,27.4059,2.7328,-14.5867,-13.3440,26.8092,20.7031
0.0781,-0.7897,0.1428,-4.6651,-5.3747,-57.2537,75.7037,61.8398,99.8248,-262.0913,-61.5522,-258.9157,-346.5040,4283.7776,3681.4365,4577.3797,3688.0597,294.8009,312.4768,-487.7480,-429.3403,25.4287,-4.9553,27.3384,2.6560,-15.0570,-13.3732,26.7194,20.7740
0.0801,-0.7974,0.1595,-4.6502,-5.3432,-57.9443,75.4585,61.2239,99.6409,-258.8595,-59.8161,-259.6166,-346.6093,4284.2062,3681.2564,4576.6572,3687.2673,295.7483,312.9844,-487.9449,-429.3069,25.5733,-4.9026,27.2687,2.6547,-14.6565,-13.4063,26.2815,20.6294
0.0820,-0.7911,0.0777,-4.5731,-5.3348,-60.0216,75.6127,60.8132,98.8630,-249.8770,-61.8046,-250.6435,-346.3427,4285.4954,3684.7658,4570.1759,3686.8144,298.6597,312.6699,-484.3683,-429.2939,25.9498,-4.8953,27.4675,2.7249,-13.8023,-13.4121,26.4755,20.6147
0.0840,-0.7625,-0.0292,-4.5302,-5.4075,-60.3222,76.1500,61.0138,98.5120,-250.3467,-65.7556,-242.7467,-344.5017,4284.4621,3688.3296,4566.1406,3688.5070,298.5594,311.8166,-481.3813,-428.9743,26.1484,-4.9676,27.7916,2.7327,-14.1125,-13.4717,27.2446,20.8551
0.0859,-0.7120,0.0350,-4.5904,-5.4860,-59.6394,75.9892,60.7797,98.8973,-255.8887,-67.0362,-249.5491,-346.3031,4279.1372,3684.7407,4572.5325,3691.7450,296.5128,311.1199,-483.9129,-429.7450,25.9825,-4.9653,27.9417,2.6314,-14.5213,-13.4175,26.9088,20.9698
0.0879,-0.7272,0.0881,-4.6189,-5.4526,-59.4733,75.8432,60.7631,99.0082,-256.3594,-65.5607,-253.2625,-347.5540,4279.9989,3682.8163,4575.0532,3690.7841,296.4714,311.4099,-485.3408,-429.9638,25.8678,-4.9373,27.8474,2.6474,-14.4330,-13.3488,26.6654,20.8852
0.0898,-0.7291,0.0160,-4.5868,-5.4613,-59.3463,76.1987,59.4839,98.7828,-260.5191,-65.4758,-253.3269,-344.3334,4281.2672,3686.2211,4571.3010,3690.0647,295.1562,311.8152,-485.1847,-428.8828,26.0640,-4.9633,28.1268,2.7062,-14.7380,-13.3469,26.6893,20.9771
0.0918,-0.7511,0.0396,-4.5971,-5.4302,-59.1245,75.9895,59.9070,98.9454,-260.2097,-64.0016,-253.8341,-344.5163,4282.6145,3685.3979,4572.1883,3689.1503,295.3609,312.1977,-485.5403,-428.8503,26.0172,-4.9414,27.9216,2.7138,-14.7624,-13.4009,26.6617,20.8797
0.0938,-0.7358,0.0390,-4.5798,-5.4331,-60.6809,75.6859,58.7558,98.8137,-256.4817,-63.9744,-253.5446,-345.2103,4281.8092,3685.3722,4571.6043,3689.5380,296.4221,312.1827,-485.2886,-429.1006,26.3352,-4.8880,28.1995,2.7358,-14.2237,-13.3685,26.2797,20.8199
0.0957,-0.7112,0.0028,-4.5820,-5.5034,-59.4924,75.7678,59.1831,99.0183,-262.1665,-65.3020,-252.9345,-343.1859,4279.2288,3686.1340,4571.9603,3691.7323,294.4174,311.8876,-485.2281,-428.7201,26.3045,-4.9242,28.1533,2.6653,-15.0115,-13.5515,26.5143,20.9378
0.0977,-0.7079,-0.0458,-4.5561,-5.5172,-59.3463,75.8797,58.8633,98.9104,-263.2996,-65.6732,-251.0195,-341.3351,4279.4766,3688.1286,4569.4575,3691.7904,294.0004,311.9754,-484.4943,-428.1841,26.4103,-4.9410,28.2115,2.6787,-15.1886,-13.6232,26.5723,20.9726
0.0996,-0.6819,-0.0047,-4.6021,-5.5695,-58.2419,75.7232,59.3794,99.3374,-267.7956,-66.6375,-254.2735,-342.3962,4276.3552,3685.5820,4573.9584,3694.0334,292.4114,311.4495,-485.8934,-428.6805,26.2171,-4.9565,28.1628,2.6068,-15.7145,-13.6682,26.5575,21.0486
0.1016,-0.7154,0.1070,-4.6868,-5.5109,-55.6172,75.6767,59.6602,100.1681,-274.2976,-62.9651,-265.0056,-343.6469,4277.7042,3681.6113,4580.0516,3691.9599,290.4485,312.2133,-489.9783,-428.6449,25.5986,-4.9757,27.8112,2.5737,-16.2391,-13.5186,26.1044,20.9994
0.1035,-0.7246,0.1325,-4.7186,-5.5204,-53.8558,75.6418,60.1653,100.5295,-281.1973,-61.4673,-269.1530,-342.2611,4277.2033,3680.5864,4582.5891,3692.1951,288.1831,312.5921,-491.7494,-428.2260,25.3806,-4.9838,27.5671,2.5256,-17.0033,-13.6148,26.1111,21.0163
0.1055,-0.7191,0.1199,-4.7153,-5.5410,-53.4349,75.5713,60.0589,100.4988,-283.8517,-61.3295,-269.5574,-341.0131,4276.4988,3681.0246,4582.4592,3692.8344,287.2224,312.6771,-491.9868,-427.9368,25.4246,-4.9769,27.5488,2.5132,-17.3015,-13.6999,26.1225,21.0339
0.1074,-0.7528,0.1855,-4.7622,-5.4968,-52.0455,75.5798,62.2213,100.8484,-282.5012,-60.5126,-269.1770,-343.2423,4278.2643,3678.2772,4585.9079,3691.5983,287.9515,312.6171,-492.1425,-428.4674,24.8961,-5.0029,27.0559,2.4762,-17.3884,-13.6578,26.5197,20.9978
0.1094,-0.7215,0.1679,-4.7414,-5.5301,-53.3443,75.5005,60.5537,100.4778,-281.8775,-61.0314,-270.2766,-342.8708,4276.0949,3678.9977,4584.9341,3692.7889,287.8647,312.5169,-492.2987,-428.4703,25.2429,-4.9642,27.4671,2.4722,-17.0829,-13.6240,26.1037,21.0185
0.1113,-0.6859,0.1468,-4.7289,-5.5720,-54.1514,75.4606,58.1439,100.2283,-284.1800,-61.3017,-273.7747,-341.8991,4273.7207,3679.8905,4584.2954,3693.9669,286.8028,312.5591,-493.2914,-428.2209,25.6090,-4.9359,27.9976,2.4734,-17.0520,-13.5802,25.5180,21.0626
0.1133,-0.7187,0.1018,-4.7034,-5.5359,-53.7695,75.7509,58.7619,100.0022,-282.3854,-61.0638,-268.8236,-340.5835,4276.9691,3682.0891,4580.9733,3692.1324,287.6475,312.8642,-491.5205,-427.6845,25.5797,-4.9693,27.8382,2.5091,-17.1572,-13.6352,25.9487,21.0411
0.1152,-0.7927,0.1384,-4.7260,-5.4298,-52.3573,76.0592,60.8625,100.2628,-279.7304,-58.7360,-266.8398,-341.4282,4282.6059,3681.4391,4581.0893,3688.1297,289.0922,313.4948,-490.9634,-427.5506,25.0531,-5.0165,27.2436,2.5214,-17.1848,-13.5562,26.4650,20.9451
0.1172,-0.8376,0.1204,-4.6919,-5.3514,-53.0078,76.0863,60.8757,99.9787,-275.2011,-56.9393,-263.8679,-340.7389,4286.8993,3683.1790,4577.3817,3685.1777,290.8283,314.1938,-489.7877,-427.1285,25.1344,-4.9957,27.0684,2.5908,-16.7499,-13.5469,26.5035,20.7963
0.1191,-0.8298,0.1776,-4.7191,-5.3443,-53.4300,75.8448,60.8407,100.1010,-273.0952,-56.9619,-266.4007,-343.2387,4285.9407,3680.7801,4580.2424,3685.5099,291.5219,313.9325,-490.6521,-427.8985,25.0358,-4.9645,27.0751,2.5705,-16.3946,-13.4382,26.2502,20.7502
0.1211,-0.8294,0.0942,-4.6619,-5.3386,-54.9211,76.1994,59.5486,99.5986,-270.4388,-58.1108,-261.9727,-341.6507,4287.7075,3684.6854,4574.5444,3684.5626,292.4528,313.9367,-488.6974,-427.3683,25.3971,-4.9815,27.4999,2.6501,-15.9815,-13.3549,26.4021,20.8192
0.1230,-0.8360,-0.0159,-4.6015,-5.3552,-55.7851,76.6043,61.1057,99.1242,-264.8191,-61.8749,-248.5102,-340.7510,4289.7888,3688.6128,4568.6443,3684.6744,294.5515,313.1198,-483.8337,-427.2738,25.5428,-5.0453,27.5212,2.7070,-15.8494,-13.4494,27.5707,20.9444
0.1250,-0.9143,0.0283,-4.6372,-5.2653,-53.4662,76.7205,66.2747,99.5737,-259.4148,-61.6760,-239.7613,-343.1829,4295.0462,3686.5623,4570.1553,3681.9189,296.9920,312.9354,-481.2648,-427.8179,24.6839,-5.1239,26.3632,2.6841,-16.0828,-13.5676,28.8664,20.8535
